                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8224,                 4.3037,                 2.1194,                0.33634,                0.29412,                0.21438,                0.05665,                 2.9383,                 5.6215,                 1.4719,              0.0006633,              0.0006633,              0.0006633
                      2,                 2.3986,                 2.9998,                  1.779,                0.24225,                0.36765,                0.20358,                0.05639,                  2.857,                 2.7475,                 1.4529,              0.0011983,              0.0011983,              0.0011983
                      3,                 2.2777,                 2.5096,                 1.7316,                0.29525,                0.38971,                0.25357,                0.10389,                 2.4603,                 2.3697,                  1.293,              0.0016013,              0.0016013,              0.0016013
                      4,                 2.2442,                 2.3578,                 1.7742,                0.36917,                0.47794,                0.32122,                0.09594,                 2.8294,                 2.0047,                 1.4328,               0.001406,               0.001406,               0.001406
                      5,                 2.1283,                 2.1103,                 1.6596,                0.34891,                0.52407,                0.33371,                0.10639,                  2.648,                 1.8132,                 1.3622,               0.001406,               0.001406,               0.001406
                      6,                 2.0946,                 1.9896,                 1.6788,                0.40329,                0.60294,                0.38776,                0.12491,                 2.5911,                 1.7533,                 1.3418,               0.001208,               0.001208,               0.001208
                      7,                 2.0227,                 1.8628,                 1.5992,                0.50224,                0.57353,                0.51123,                0.17094,                 2.3878,                 1.4057,                 1.2399,                0.00101,                0.00101,                0.00101
                      8,                 1.9297,                 1.7264,                 1.5571,                0.54037,                0.47547,                0.44269,                0.15679,                 2.4279,                 1.5772,                 1.2777,               0.000812,               0.000812,               0.000812
                      9,                 1.8872,                 1.6213,                 1.5067,                0.51759,                 0.5996,                0.53301,                0.17257,                 2.4378,                 1.4616,                 1.2559,               0.000614,               0.000614,               0.000614
                     10,                 1.8094,                 1.5592,                 1.4657,                0.56589,                0.69012,                0.59482,                0.20121,                   2.34,                 1.4449,                 1.2337,               0.000416,               0.000416,               0.000416
