                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6897,                 3.8116,                  1.503,                0.47393,                0.63011,                0.47519,                0.18573,                  2.067,                 2.1171,                 1.1712,             0.00066455,             0.00066455,             0.00066455
                      2,                 2.0357,                 1.9269,                 1.2089,                0.73567,                0.70627,                0.72963,                0.27427,                 1.9775,                 1.4408,                 1.1486,              0.0011994,              0.0011994,              0.0011994
                      3,                 1.9146,                 1.5387,                 1.1656,                 0.6353,                0.70323,                0.68451,                0.30538,                 1.7575,                  1.337,                 1.0738,              0.0016023,              0.0016023,              0.0016023
                      4,                 1.8046,                  1.392,                 1.1338,                0.82037,                0.72258,                0.78833,                0.37967,                 1.6411,                 1.1147,                 1.0492,               0.001406,               0.001406,               0.001406
                      5,                 1.7462,                   1.21,                 1.1144,                0.84042,                0.80215,                0.81264,                0.37519,                 1.7114,                 1.0329,                 1.0627,               0.001406,               0.001406,               0.001406
                      6,                 1.7077,                 1.1428,                    1.1,                0.84279,                0.79552,                0.82803,                0.39875,                 1.5932,                0.96527,                 1.0258,               0.001208,               0.001208,               0.001208
                      7,                 1.6152,                  1.088,                 1.0685,                0.81089,                 0.7957,                0.79914,                0.35575,                 1.5834,                0.97759,                 1.0067,                0.00101,                0.00101,                0.00101
                      8,                 1.5499,                  0.989,                 1.0443,                0.87479,                0.83441,                0.87254,                0.45914,                  1.475,                0.88493,                0.98383,               0.000812,               0.000812,               0.000812
                      9,                 1.5181,                0.94433,                 1.0294,                 0.9161,                0.86022,                0.92079,                0.50016,                 1.3915,                0.83068,                0.96024,               0.000614,               0.000614,               0.000614
                     10,                 1.4525,                0.91675,                   1.02,                0.93926,                0.86667,                0.92157,                0.50676,                 1.3885,                0.80505,                0.96482,               0.000416,               0.000416,               0.000416
