                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4935,                 1.0513,                0.97217,                0.75752,                0.80252,                 0.7695,                0.37258,                 1.4284,                 1.0534,                0.94436,             0.00066631,             0.00066631,             0.00066631
                      2,                 1.5169,                 1.0659,                0.97687,                0.80095,                0.77562,                 0.7983,                0.36329,                 1.4675,                 1.0831,                0.94688,               0.001201,               0.001201,               0.001201
                      3,                 1.5077,                 1.0448,                0.97503,                0.80808,                0.83717,                0.81589,                 0.3922,                 1.4601,                 1.0186,                0.94405,              0.0016037,              0.0016037,              0.0016037
                      4,                 1.4679,                 1.0064,                 0.9615,                 0.6208,                0.75021,                0.61154,                0.27399,                 1.5863,                  1.513,                0.97282,               0.001406,               0.001406,               0.001406
                      5,                  1.448,                0.99385,                 0.9601,                0.82998,                0.81737,                 0.8363,                0.41203,                 1.4945,                 1.0324,                0.94989,               0.001406,               0.001406,               0.001406
                      6,                 1.3953,                0.94741,                0.94773,                0.83972,                0.82503,                0.84428,                0.44315,                 1.3431,                0.94933,                0.92291,               0.001208,               0.001208,               0.001208
                      7,                 1.3493,                0.90441,                0.93221,                0.80145,                0.86683,                0.78609,                0.39694,                 1.3764,                 1.0445,                0.92248,                0.00101,                0.00101,                0.00101
                      8,                 1.3138,                0.86031,                0.92533,                0.89144,                0.91357,                 0.8917,                0.50171,                 1.2736,                0.83879,                0.90844,               0.000812,               0.000812,               0.000812
                      9,                 1.2676,                0.82298,                0.91473,                0.90866,                0.91745,                0.90234,                0.52959,                 1.2546,                0.81051,                0.90349,               0.000614,               0.000614,               0.000614
                     10,                 1.2124,                0.77093,                0.90593,                0.91223,                0.89834,                0.92141,                0.52047,                 1.3676,                 0.8216,                0.91961,               0.000416,               0.000416,               0.000416
