                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6564,                 3.4308,                 1.4373,                0.57246,                0.60198,                0.54239,                0.22361,                 1.9961,                 1.8383,                 1.1634,             0.00066458,             0.00066458,             0.00066458
                      2,                 2.0962,                 1.8434,                 1.1948,                0.78873,                0.70232,                0.75808,                0.31504,                 1.8555,                 1.3614,                 1.1239,              0.0013181,              0.0013181,              0.0013181
                      3,                 1.9686,                 1.5079,                 1.1645,                0.71717,                0.69703,                0.69176,                0.26235,                 1.9433,                 1.3115,                 1.1481,              0.0019584,              0.0019584,              0.0019584
                      4,                 1.9228,                 1.3527,                 1.1377,                0.75054,                0.70891,                0.76577,                0.35006,                 1.6697,                 1.1498,                 1.0497,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.8331,                 1.2196,                 1.1276,                 0.8393,                0.78597,                0.84631,                0.39446,                  1.618,                0.99339,                 1.0565,              0.0019406,              0.0019406,              0.0019406
                      6,                  1.785,                 1.1531,                 1.0852,                0.79424,                0.76238,                0.80843,                0.37508,                 1.5989,                 1.0171,                 1.0363,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.7665,                 1.1735,                 1.0996,                0.72042,                0.69901,                0.72065,                 0.2994,                 1.6282,                 1.1226,                 1.0417,               0.001901,               0.001901,               0.001901
                      8,                 1.7321,                 1.1893,                 1.0744,                 0.8827,                0.79802,                0.87438,                0.43483,                 1.5054,                 0.9887,                 1.0212,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.7038,                  1.094,                 1.0584,                0.81424,                0.79802,                0.84905,                0.39784,                 1.6311,                 1.0006,                 1.0829,              0.0018614,              0.0018614,              0.0018614
                     10,                  1.655,                 1.0667,                  1.078,                0.90361,                 0.8396,                0.89524,                0.45547,                 1.4989,                 0.9338,                 1.0099,              0.0018416,              0.0018416,              0.0018416
