                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2704,                 2.6133,                 1.4574,                0.49813,                0.62481,                0.47756,                0.18361,                 1.8319,                 1.4329,                 1.2558,             0.00066631,             0.00066631,             0.00066631
                      2,                 1.8479,                 1.4612,                 1.2676,                0.67642,                0.73403,                0.67873,                0.27793,                 1.7103,                 1.2701,                 1.1995,               0.001201,               0.001201,               0.001201
                      3,                 1.7391,                 1.3421,                 1.2212,                0.66432,                0.68871,                0.65183,                0.27645,                 1.6292,                  1.239,                  1.155,              0.0016037,              0.0016037,              0.0016037
                      4,                 1.6432,                 1.2523,                 1.1776,                0.67013,                0.72536,                0.68536,                0.28582,                 1.6187,                 1.2548,                 1.1535,               0.001406,               0.001406,               0.001406
                      5,                 1.5899,                  1.191,                 1.1539,                0.68983,                0.72437,                0.71806,                0.30029,                 1.5542,                 1.2753,                 1.1311,               0.001406,               0.001406,               0.001406
                      6,                 1.5164,                 1.1528,                 1.1181,                0.73027,                0.75978,                0.74983,                0.34001,                 1.4041,                 1.1569,                 1.0557,               0.001208,               0.001208,               0.001208
                      7,                  1.457,                 1.1059,                 1.0885,                0.75365,                0.75764,                 0.8059,                0.38808,                 1.3937,                 1.0738,                 1.0488,                0.00101,                0.00101,                0.00101
                      8,                 1.4041,                 1.0622,                 1.0689,                0.73509,                0.75681,                0.74959,                0.33392,                 1.4685,                 1.1722,                  1.072,               0.000812,               0.000812,               0.000812
                      9,                 1.3569,                 1.0195,                 1.0482,                0.81152,                0.81674,                0.84081,                0.41826,                 1.3467,                 1.0198,                 1.0337,               0.000614,               0.000614,               0.000614
                     10,                  1.328,                0.97552,                 1.0336,                0.85748,                 0.8477,                0.88096,                 0.4326,                 1.3609,                 1.0097,                 1.0311,               0.000416,               0.000416,               0.000416
